Work,Alternative Work Names,Author(s),Alternative Author Names,xml filename,size (kbs),genre,transformed,note,GitHub link,GitHub link text,Website link,Website link text,Corroborated Work ID,Corroborated Author ID,Exact Matching Work Suggestions,Exact Matching Author Suggestions,Corroborated Inexact Work ID,Corroborated Inexact Author ID,,,,,Inexact Matching Work Suggestions,Inexact Matching Author Suggestions
Nibandhāvali,,Jñānaśrīmitra,,jnanasrimitra-nibandhavali,2948.7,Philosophy,y,"collection containing:
89200   kṣaṇabhaṅgādhyāya
89208   vyāpticarcā
89197   bhedābhedaparīkṣā
89195   anupalabdhirahasya
89206   sarvaśabdābhāvacarcā
89196   apohaprakaraṇa
89198   īśvaravāda (īśvaradūṣaṇa)
89199   kāryakāraṇabhāvasiddhi
89209   yoginirṇayaprakaraṇa
89193    advaitabinduprakaraṇa
89203    sākārasiddhiśāstra
89204    sākārasaṃgrahasūtra",jnanasrimitra-nibandhavali,https://github.com/sarit/SARIT-corpus/blob/master/jnanasrimitra-nibandhavali.xml,jnanasrimitra-nibandhavali,https://sarit.indology.info/jnanasrimitra-nibandhavali.xml?view=div,"89200
89208
89197
89195
89206
89196
89198
89199
89209
89193
89203
89204",85358,,"[('Jñānaśrīmitra', '85358')]",,,,,,,"[('Nibandha', '41593', '80%'), ('Sandeholāvalī', '89560', '64%'), ('Śakunāvali', '106919', '64%')]",
Arthaśāstra,,Kauṭalya,"Kauṭilya, Cāṇakya",kautalyarthasastra,950.2,arthaśāstra,,,kautalyarthasastra,https://github.com/sarit/SARIT-corpus/blob/master/kautalyarthasastra.xml,kautalyarthasastra,https://sarit.indology.info/kautalyarthasastra.xml?view=div,109693,109692,,,,,,,,,,
Tantravārttika,,Kumārila,,kumarila-tantravarttika,4481.1,Philosophy,,,kumarila-tantravarttika,https://github.com/sarit/SARIT-corpus/blob/master/kumarila-tantravarttika.xml,kumarila-tantravarttika,https://sarit.indology.info/kumarila-tantravarttika.xml?view=div,88598,85206,,,,,,,,,,
Ātmabodhaprakaraṇa,,Śaṃkara,Madhusūdana Sarasvatī,madhusudanasarasvati-atmabodhaprakarana,115.4,Philosophy,,Ātmabodhaprakaraṇa of Śaṅkarācārya with a commentary ascribed to Mahusūdana Sarasvatī; significant confusion in Pandit about Ātmabodha vs Ātmabodhaprakaraṇa,madhusudanasarasvati-atmabodhaprakarana,https://github.com/sarit/SARIT-corpus/blob/master/madhusudanasarasvati-atmabodhaprakarana.xml,,,97710,85218,"[('Ātmabodhaprakaraṇa', '97710')]","[('Madhusūdana Sarasvatī', '85928')]",,,,,,,,
Mahābhārata,,Vyāsa,,mahabharata-devanagari,37688.7,Epic,,,mahabharata-devanagari,https://github.com/sarit/SARIT-corpus/blob/master/mahabharata-devanagari.xml,mahabharata-devanagari,https://sarit.indology.info/mahabharata-devanagari.xml?view=div,42078,108876,,,,,,,,,,
Manusmṛti,,,,manusmrti,1301.2,Dharmaśāstra,,,manusmrti,https://github.com/sarit/SARIT-corpus/blob/master/manusmrti.xml,manusmrti,https://sarit.indology.info/manusmrti.xml?view=div,102278,—,"[('Manusmṛti', '102278')]",,,,,,,,,"[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Nāradasmṛti,,,,naradasmrti,365.7,Dharmaśāstra,,,naradasmrti,https://github.com/sarit/SARIT-corpus/blob/master/naradasmrti.xml,naradasmrti,https://sarit.indology.info/naradasmrti.xml?view=div,...,—,,,,,,,,,"[('Nāradasaṃhitā', '106485', '67%'), ('Tāratamyavṛtti', '92179', '64%'), ('Nāradīyasaṃhitā', '106757', '62%')]","[('Nārāyaṇa', '86182', '90%'), ('Nārāyaṇa', '41163', '90%'), ('Nārāyaṇa', '87548', '90%'), ('Nārāyaṇa', '87547', '90%'), ('Nārāyaṇa', '40744', '90%'), ('Nārāyaṇa', '112094', '90%'), ('Nārāyaṇa', '85695', '90%'), ('Nārāyaṇa', '40901', '90%'), ('Nārāyaṇa', '40763', '90%'), ('Raṅgācārya of Kauśikagotra', '87684', '90%'), ('Gadādhara Bhaṭṭācārya', '86189', '90%')]"
Rasāyanakhaṇḍa,,Nityanātha Siddha,,nityanatha-rasaratnakara-rasayanakhanda,281.9,Medicine,,Rasāyanakhaṇḍa is a chapter of Rasaratnākara,nityanatha-rasaratnakara-rasayanakhanda,https://github.com/sarit/SARIT-corpus/blob/master/nityanatha-rasaratnakara-rasayanakhanda.xml,nityanatha-rasaratnakara-rasayanakhanda,https://sarit.indology.info/nityanatha-rasaratnakara-rasayanakhanda.xml?view=div,42030,40863,,"[('Nityanātha Siddha', '40863')]",,,,,,,"[('Pāsandakhaṇḍaṇa', '93100', '69%'), ('Siddhasārakhaṇḍa', '42093', '67%'), ('Satkāryakhaṇḍana', '92984', '67%')]",
Śakuntalā-upākhyāna,,Nīvājakavi,,nivajakavi-sakuntala-upakhyana,165.6,Kāvya,,"not Sanskrit, ignore! (braj)",nivajakavi-sakuntala-upakhyana,https://github.com/sarit/SARIT-corpus/blob/master/nivajakavi-sakuntala-upakhyana.xml,,,,,,,,,,,,,"[('Bahulopākhyāna', '112312', '67%'), ('Śaṃkarākhya', '41300', '60%')]","[('Mānakavi', '40447', '67%'), ('Nāyaka', '96445', '62%'), ('Madhvakavi', '96617', '60%')]"
Nyāyakumudacandra,,Prabhācandra,Bhaṭṭākalaṅkadeva,nyayakumudacandra,7644.3,Philosophy,,Prabhācandra's comm on Akalaṅkadeva's Laghīyastraya,nyayakumudacandra,https://github.com/sarit/SARIT-corpus/blob/master/nyayakumudacandra.xml,nyayakumudacandra,https://sarit.indology.info/nyayakumudacandra.xml?view=div,89272,85367,,,,,,,,,,"[('Bhaṭṭākalaṅka', '100417', '87%'), ('Bāladeva', '40434', '64%'), ('Bhaṭṭa Sadāśiva', '113856', '62%')]"
